PWN,ILI,POS,Tree File,Gap,DeepL Direct,DeepL Contextualized,Translated Wordnet,Lemmas,Translated Wordnet Gloss,Gloss,Hypernyms,Hyponyms
omw-en31-03796768-n,i56401,n,omw-en31-03099154-n,motor vehicle,транспортний засіб,автомобільний транспортний засіб,"транспортний засіб, автомобільний транспортний засіб","motor vehicle, automotive vehicle","самохідний колісний транспортний засіб, який не рухається по рейках",a self-propelled wheeled vehicle that does not run on rails,self-propelled vehicle,"amphibian, amphibious vehicle; bloodmobile; car, auto, automobile, machine, motorcar; doodlebug; four-wheel drive, 4WD; go-kart; golfcart, golf cart; hearse; motorcycle, bike; snowplow, snowplough; truck, motortruck"
omw-en31-03902116-n,i57034,n,omw-en31-03099154-n,passenger van,пасажир з,пасажирський фургон,пасажирський фургон,passenger van,"мікроавтобус, який перевозить пасажирів",a van that carries passengers,van,minivan
omw-en31-09936246-n,i88960,n,omw-en31-10244889-n,chief justice,головний суддя,голова суду,"Верховний суддя, головний суддя",chief justice,"суддя, який головує у Верховному Суді",the judge who presides over a supreme court,"judge, justice, jurist","Burger, Warren Burger, Warren E. Burger, Warren Earl Burger; Chase, Salmon P. Chase, Salmon Portland Chase; Ellsworth, Oliver Ellsworth; Fuller, Melville W. Fuller, Melville Weston Fuller; Hughes, Charles Evans Hughes; Jay, John Jay; Marshall, John Marshall; Rehnquist, William Rehnquist, William Hubbs Rehnquist; Rutledge, John Rutledge; Stone, Harlan Stone, Harlan F. Stone, Harlan Fisk Stone; Taft, William Howard Taft, President Taft; Taney, Roger Taney, Roger Brooke Taney; Vinson, Frederick Moore Vinson; Waite, Morrison Waite, Morrison R. Waite, Morrison Remick Waite; Warren, Earl Warren; White, Edward White, Edward D. White, Edward Douglas White Jr."
omw-en31-00958596-n,i40426,n,omw-en31-00955670-n,pitched battle,запеклий бій,битва,"гострий бій, Скатних битв",pitched battle,запеклий бій воював у ближньому бою між військами на заздалегідь визначених позиціях у визначений час і місце,a fierce battle fought in close combat between troops in predetermined positions at a chosen time and place,"battle, conflict, fight, engagement","Agincourt; Austerlitz, battle of Austerlitz; Bannockburn; Battle of Kerbala; Battle of the Ardennes Bulge, Battle of the Bulge, Ardennes counteroffensive; Battle of the Marne, Belleau Wood, Chateau-Thierry, Marne River; Blenheim; Borodino; Bosworth Field; Bouvines; Boyne, battle of Boyne; Brunanburh, battle of Brunanburh; Buena Vista; Bull Run, Battle of Bull Run; Bunker Hill, battle of Bunker Hill; Cannae; Caporetto, battle of Caporetto; Caudine Forks; Chaeronea; Chalons, Chalons-sur-Marne; Chancellorsville; Chapultepec; Chattanooga, battle of Chattanooga; Chickamauga, battle of Chickamauga; Cowpens, battle of Cowpens; Crecy, battle of Crecy; Cunaxa, battle of Cunaxa; Cynoscephalae, battle of Cynoscephalae; El Alamein, Al Alamayn, Battle of El Alamein; Flodden, Battle of Flodden Field; Fontenoy, Battle of Fontenoy; Fort Ticonderoga, Ticonderoga; Fredericksburg, Battle of Fredericksburg; Gettysburg, Battle of Gettysburg; Granicus, Battle of Granicus River; Guadalcanal, Battle of Guadalcanal; Hastings, battle of Hastings; Hohenlinden, battle of Hohenlinden; Ipsus, battle of Ipsus; Issus, battle of Issus; Ivry, battle of Ivry, Ivry la Bataille; Jena, Battle of Jena; Kennesaw Mountain; Lake Trasimenus, Battle of Lake Trasimenus; Langside, battle of Langside; Leuctra, battle of Leuctra; Lexington, Concord, Lexington and Concord; Lule Burgas, battle of Lule Burgas; Lutzen, battle of Lutzen; Magenta, Battle of Magenta; Maldon, Battle of Maldon; Mantinea, Mantineia; Marathon, battle of Marathon; Marengo; Marston Moor, battle of Marston Moor; Metaurus River; Minden, battle of Minden; Monmouth Court House, Battle of Monmouth Court House, Battle of Monmouth; Naseby, Battle of Naseby; Omdurman, battle of Omdurman; Panipat, battle of Panipat; Pharsalus, battle of Pharsalus; Philippi, battle of Philippi; Plassey, battle of Plassey; Plataea, battle of Plataea; Poitiers, battle of Poitiers; Port Arthur; Battle of Puebla; Pydna, Battle of Pydna; Ravenna, Battle of Ravenna; Rocroi, Battle of Rocroi; Rossbach, battle of Rossbach; Saint-Mihiel, St Mihiel, battle of St Mihiel; Saratoga, battle of Saratoga; Sempach, battle of Sempach; Shiloh, battle of Shiloh, battle of Pittsburgh Landing; Soissons, battle of Soissons-Reims, battle of the Chemin-des-Dames, battle of the Aisne; Solferino, battle of Solferino; Somme, Somme River, Battle of the Somme; Somme, Somme River, Battle of the Somme; Spotsylvania, battle of Spotsylvania Courthouse; Tannenberg, battle of Tannenberg; Tertry, battle of Tertry; Teutoburger Wald, battle of Teutoburger Wald; Tewkesbury, battle of Tewkesbury; Thermopylae, battle of Thermopylae; Trasimeno, battle of Trasimeno; Valmy, battle of Valmy; Verdun, battle of Verdun; Wagram, battle of Wagram; Waterloo, Battle of Waterloo; Yalu River; Ypres, battle of Ypres, first battle of Ypres; Ypres, battle of Ypres, second battle of Ypres; Ypres, battle of Ypres, third battle of Ypres; Zama, battle of Zama"
omw-en31-14109190-n,i110950,n,omw-en31-14108362-n,brain disorder,розлад мозку,розлад мозку,"розлад мозку, хвороба мозку","brain disorder, encephalopathy, brain disease",будь-яке захворювання або захворювання головного мозку,any disorder or disease of the brain,"nervous disorder, neurological disorder, neurological disease","epilepsy; apraxia; paralysis agitans, Parkinsonism, Parkinson's disease, Parkinson's syndrome, Parkinson's, shaking palsy; cerebral palsy, spastic paralysis; agraphia, anorthography, logagraphia; acataphasia; aphasia; agnosia; Creutzfeldt-Jakob disease, CJD, Jakob-Creutzfeldt disease; Reye's syndrome; Wernicke's encephalopathy"
omw-en31-02065877-n,i46244,n,omw-en31-02065083-n,baleen whale,китовий вусач,кит-вусач,"китовий вус, вусатий кит, кит-кит, вусий кит, китовий кит","baleen whale, whalebone whale",кит з пластинами китового вуза уздовж верхньої щелепи для фільтрації планктону з води,whale with plates of whalebone along the upper jaw for filtering plankton from the water,whale,"right whale; bowhead, bowhead whale, Greenland whale, Balaena mysticetus; rorqual, razorback; blue whale, sulfur bottom, Balaenoptera musculus; humpback, humpback whale, Megaptera novaeangliae; grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus"
omw-en31-02730750-n,i50097,n,omw-en31-03298959-n,apparatus,апарат,апарат,"установка, апарат","apparatus, setup","обладнання, призначене для виконання певних функцій",equipment designed to serve a specific function,equipment,"aerator; burner; cascade liquefier; centrifuge, extractor, separator; chemical reactor; condenser; duplicator, copier; electrograph; generator; heat pump; heliograph; incubator, brooder; instillator; Kipp's apparatus; lighting; nuclear reactor, reactor; optical bench; pendulum; purifier; reformer; semaphore; sequencer, sequenator; soda fountain; still; submersible; telegraph, telegraphy; titrator; X-ray machine"
omw-en31-02926513-n,i51278,n,omw-en31-03298959-n,burner,пальник,пальник,пальник,burner,апарат для спалювання палива (або відмови),an apparatus for burning fuel (or refuse),"apparatus, setup","blowtorch, torch, blowlamp; gas bracket; gas burner, gas jet"
omw-en31-04489799-n,i60548,n,omw-en31-02721722-n,tricyclic,трициклічний,трициклічний,Трициклічний антидепресант,"tricyclic, tricyclic antidepressant, tricyclic antidepressant drug","антидепресант, який діє, блокуючи зворотне захоплення норадреналіну і серотоніну і, таким чином, роблячи більше цих речовин доступними для дії на рецептори в мозку",an antidepressant drug that acts by blocking the reuptake of norepinephrine and serotonin and thus making more of those substances available to act on receptors in the brain,"antidepressant, antidepressant drug","amitriptyline, amitriptyline hydrochloride, Elavil; clomipramine; desipramine; doxepin, doxepin hydrochloride, Adapin, Sinequan; imipramine, impramine hydrochloride, Imavate, Tofranil; nortriptyline, Pamelor; protriptyline; trimipramine, Surmontil"
omw-en31-13455293-n,i107342,n,omw-en31-13571521-n,asexual reproduction,безстатеве розмноження,безстатеве розмноження,"агамогенез, безстатеве розмноження","asexual reproduction, agamogenesis",відтворення без злиття гамет,reproduction without the fusion of gametes,reproduction,"apomixis; blastogenesis; budding; fission; fissiparity; monogenesis, sporulation; parthenogenesis, parthenogeny, virgin birth; pullulation, gemmation"
omw-en31-09249904-n,i85112,n,omw-en31-09409315-n,boson,бозон,бозон,бозон,boson,"будь-яка частинка, яка підкоряється статистиці Бозе-Ейнштейна, але не принцип виключення Паулі",any particle that obeys Bose-Einstein statistics but not the Pauli exclusion principle; all nuclei with an even mass number are bosons,"particle, subatomic particle","gauge boson; meson, mesotron"
omw-en31-14153648-n,i111182,n,omw-en31-14150693-n,epidemic disease,епідемічна хвороба,епідемічна хвороба,епідемічна хвороба,epidemic disease,"будь-яка інфекційна хвороба, яка швидко розвивається та поширюється серед багатьох людей",any infectious disease that develops and spreads rapidly to many people,infectious disease,"plague, pestilence, pest; plague, pestilence, pest, pestis; epidemic pleurodynia, epidemic myalgia, myosis, diaphragmatic pleurisy, Bornholm disease"
omw-en31-03801102-n,i56424,n,omw-en31-02799782-n,movable barrier,рухомий бар'єр,рухомий бар'єр,рухомий бар'єр,movable barrier,"бар'єр, який можна перемістити, щоб дозволити прохід",a barrier that can be moved to allow passage,barrier,chicane; door; gate; hatch
omw-en31-06710094-n,i71681,n,omw-en31-06709228-n,academic degree,науковий ступінь,академічний ступінь,"ступінь, вчений ступінь, науковий ступінь, академічний ступінь","academic degree, degree","нагорода, присуджена коледжем або університетом, що означає, що одержувач задовільно завершив курс навчання",an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study,"award, accolade, honor, honour, laurels","associate degree, associate; bachelor's degree, baccalaureate; honours, honours degree; master's degree; doctor's degree, doctorate; law degree; honorary degree, honoris causa"
omw-en31-04566309-n,i60997,n,omw-en31-03839580-n,water-cooled reactor,реактор з водяним охолодженням,реактор з водяним охолодженням,реактор з водяним охолодженням,water-cooled reactor,ядерний реактор використовує воду як теплоносій,nuclear reactor using water as a coolant,"nuclear reactor, reactor","boiling water reactor, BWR; pressurized water reactor, PWR"
omw-en31-13990322-n,i110332,n,omw-en31-13987306-n,polygamy,багатоженство,полігамія,полігамія,polygamy,стан або практика мати більше одного з подружжя одночасно,the condition or practice of having more than one spouse at a time,"marriage, matrimony, union, spousal relationship, wedlock",polyandry; polygyny
omw-en31-14969026-n,i115658,n,omw-en31-14706294-n,macromolecule,макромолекула,макромолекула,"макромолекула, супермолекула","macromolecule, supermolecule",будь -яка дуже велика складна молекула,any very large complex molecule; found only in plants and animals,molecule; organic compound,"protein; carbohydrate, saccharide, sugar; lipid, lipide, lipoid; nucleic acid"
omw-en31-14991055-n,i115790,n,omw-en31-14706294-n,oil,нафта,нафта,масло,oil,"слизька або в'язка рідина або зріджена речовина, не зміщена з водою",a slippery or viscous liquid or liquefiable substance not miscible with water,"lipid, lipide, lipoid","sassafras oil; calamus oil; mustard oil; rape oil, rapeseed oil, colza oil; safflower oil; hydnocarpus oil; babassu oil, babacu oil; cohune-nut oil, cohune oil, cohune fat; almond oil, expressed almond oil, sweet almond oil; pennyroyal oil, hedeoma oil; hyssop oil; spike lavender oil, spike oil; pennyroyal oil; croton oil; fuel oil, heating oil; animal oil; camphor oil; grease, lubricating oil; essential oil, volatile oil; mineral oil; motor oil; fixed oil, fatty oil; fusel oil; stand oil; neroli oil; tall oil; petroleum, crude oil, crude, rock oil, fossil oil, oil; shale oil; linseed oil, flaxseed oil; tung oil, Chinese wood oil; chaulmoogra oil; lemongrass, lemon grass, lemongrass oil"
omw-en31-14779256-n,i114528,n,omw-en31-14706294-n,animal oil,тваринна олія,тваринна олія,"тваринна олія, тваринне масло",animal oil,"будь -яка олія, отримана з речовин тваринного походження",any oil obtained from animal substances,oil; animal material,"drying oil; blubber; bone oil, Dippel's oil; bone oil; cod-liver oil, cod liver oil; lanolin, wool fat, wool grease; fish-liver oil, fish oil; glyceride, acylglycerol; goose grease; halibut-liver oil; lard oil; menhaden oil; neat's-foot oil; oleo oil; porpoise oil; dolphin oil; salmon oil; sardine oil; seal oil; shark oil, shark-liver oil; sperm oil; tallow; tallow oil; whale oil, train oil; wool oil"
omw-en31-09339360-n,i85597,n,omw-en31-09357302-n,island,острів,Острів,Острів,island,"маса суші (менша за материк), оточена водою",a land mass (smaller than a continent) that is surrounded by water,"land, dry land, earth, ground, solid ground, terra firma","Anguilla; Aran Islands; Antigua; Barbuda; Redonda; Bermuda, Bermudas; Bouvet Island; Montserrat; Sao Tiago Island; Falkland Islands; Ceylon; Chiloe; Taiwan, Formosa; Taiwan, China, Nationalist China, Republic of China; Guadalupe Island; Caribbean Island; Netherlands Antilles; Aruba; Bonaire; Curacao; Saba; Saint Eustatius, St. Eustatius; Saint Martin, St. Martin, Saint Maarten, St. Maarten; Cuba; Guadeloupe; Hispaniola, Haiti, Hayti; Puerto Rico, Porto Rico; Culebra; Vieques; Jamaica; Virgin Islands; Barbados; Trinidad; Tobago; Cyprus; Zealand, Seeland, Sjaelland; Dominica; Bioko; Spitsbergen, Spitzbergen; Galapagos Islands, Galapagos; Fiji Islands, Fijis; Viti Levu; Vanua Levu; Aegean island; Crete, Kriti; Ithaca, Ithaki; Egadi Islands, Aegadean Isles, Aegadean Islands, Isole Egadi, Aegates; Lemnos, Limnos; Capri; Ischia; Sardinia, Sardegna; Sicily, Sicilia; Greenland, Gronland, Kalaallit Nunaat; Baffin Island; Vancouver Island; Newfoundland; Cape Breton Island; Tasmania; Norfolk Island; Saipan; Guam, GU; Wake Island, Wake; Nauru, Nauru Island, Pleasant Island; Borneo, Kalimantan; Bougainville; Guadalcanal; New Britain; New Caledonia; New Guinea; New Ireland; Bahrain, Bahrain Island, Bahrein, Bahrein Island; British Isles; Great Britain, GB; Ireland, Hibernia, Emerald Isle; Channel Island; Man, Isle of Man; Isle of Skye; Islay; Mull; Staffa; Anglesey, Anglesey Island, Anglesea, Anglesea Island, Mona; Java; Bali; Timor; Sumatra; Celebes, Sulawesi; Moluccas, Spice Islands; Hokkaido, Ezo, Yezo; Honshu, Hondo; Kyushu; Shikoku; Okinawa; Iwo Jima; Ile-St-Louis; Corse, Corsica; Martinique; Faroe Islands, Faeroe Islands, Faroes, Faeroes; Iceland; Madagascar; Maldives, Maldive Islands; Malta; Mauritius; New Zealand, New Zealand Islands; North Island; South Island; Cebu; Luzon; Mindanao; Mindoro; Visayan Islands, Bisayas; Azores, Acores; Madeira; Saint Christopher, St. Christopher, Saint Kitts, St. Kitts; Nevis; Sombrero; Saint Lucia, St. Lucia; Saint Vincent, St. Vincent; Tahiti; Samoa, Samoan Islands; Principe; Seychelles, Seychelles islands; Singapore, Singapore Island; Novaya Zemlya, Nova Zembla; Majorca; Canary Islands, Canaries; Tenerife; Zanzibar; Admiralty Island; Santa Catalina, Catalina Island; Hawaii, Hawaii Island; Kahoolawe, Kahoolawe Island; Kauai, Kauai Island; Lanai, Lanai Island; Maui, Maui Island; Molokai, Molokai Island; Nihau, Nihau Island; Oahu, Oahu Island; Martha's Vineyard; Nantucket; Liberty Island, Bedloe's Island; Manhattan Island; Ellis Island; Long Island; Galveston Island; Krakatau, Krakatao, Krakatoa; New Siberian Islands; barrier island; isle, islet; Kodiak, Kodiak Island; South Sea Islands"
omw-en31-08800479-n,i83022,n,omw-en31-09357302-n,Aegean island,Острів в Егейському морі,Егейський острів,"Острів Егейського моря, Егейський острів",Aegean island,острів в Егейському морі,an island in the Aegean Sea,island,"Aegina, Aigina; Chios, Khios; Cyclades, Kikladhes; Dodecanese, Dhodhekanisos; Lesbos, Lesvos, Mytilene; Rhodes, Rodhos"
omw-en31-05297100-n,i64756,n,omw-en31-05305022-n,contractile organ,скоротливий орган,скорочувальний орган,"підрядник, скоротливий орган, скоротий орган, виконавець","contractile organ, contractor","тілесний орган, який укладає контракти",a bodily organ that contracts,organ,"muscle, musculus"
omw-en31-05297360-n,i64758,n,omw-en31-05305022-n,skeletal muscle,скелетні м'язи,скелетний м'яз,"Скелетний м'яз, смугастий м'яз, посмугастий м’яз, смугаста м'яз","skeletal muscle, striated muscle","м'яз, який з'єднаний на обох кінцях з кісткою і таким чином переміщує частини скелета",a muscle that is connected at either or both ends to a bone and so move parts of the skeleton; a muscle that is characterized by transverse stripes,"muscle, musculus","voluntary muscle; abductor, abductor muscle; adductor, adductor muscle; anconeous muscle, musculus anconeus; articular muscle; extensor muscle, extensor; flexor muscle, flexor; deltoid, deltoid muscle, musculus deltoideus; serratus, serratus muscles; pectoral, pectoral muscle, pectoralis, musculus pectoralis, pecs; intercostal, intercostal muscle, musculus intercostalis; depressor, depressor muscle; abdominal, abdominal muscle, ab; latissimus dorsi, lat; gluteus, gluteus muscle, gluteal muscle, glute; musculus sphincter ani externus; calf, sura; gastrocnemius, gastrocnemius muscle; psoas; rhomboid, rhomboid muscle; soleus, soleus muscle; splenius, splenius muscle; peroneus; pterygoid muscle; biceps; triceps; axial muscle; sartorius, sartorius muscle, musculus sartorius; scalenus, scalene muscle, musculus scalenus; sternocleidomastoid, sternocleidomastoid muscle, sternocleido mastoideus, musculus sternocleidomastoideus; teres, teres muscle; tibialis, tibialis muscle, musculus tibialis; trapezius, trapezius muscle, cowl muscle, musculus trapezius; facial muscle; temporalis muscle, temporal muscle, temporalis, musculus temporalis"
omw-en31-05564972-n,i66122,n,omw-en31-05305022-n,abdominal,черевна порожнина,abdominal,"черевний м’яз, аб, м'яз живота","abdominal, abdominal muscle, ab",м'язи живота,the muscles of the abdomen,"skeletal muscle, striated muscle","external oblique muscle, musculus obliquus externus abdominis, abdominal external oblique muscle, oblique; transversus abdominis muscle, transverse muscle of abdomen, musculus transversalis abdominis, transversus abdominis"
omw-en31-04272024-n,i59240,n,omw-en31-04144527-n,spacecraft,космічний корабель,космічний корабель,"Космічний апарат, космічний корабель","spacecraft, ballistic capsule, space vehicle","корабель, здатний подорожувати в космічному просторі","a craft capable of traveling in outer space; technically, a satellite around the sun","craft; satellite, artificial satellite, orbiter","lander; lunar excursion module, lunar module, LEM; space capsule, capsule; space shuttle; starship, spaceship"
omw-en31-09811678-n,i88206,n,omw-en31-09640897-n,anatomist,анатом,анатом,Анатом,anatomist,експерт з анатомії,an expert in anatomy,expert,"comparative anatomist; histologist; osteologist, osteologer; Eustachio, Bartolommeo Eustachio; Evans, Herbert McLean Evans; Fallopius, Gabriele Fallopius, Fallopio, Gabriello Fallopio; Galen; Meissner, Georg Meissner; Muller, Johannes Peter Muller; Vesalius, Andreas Vesalius; Wolff, Kaspar Friedrich Wolff"
omw-en31-10189952-n,i90479,n,omw-en31-09640897-n,histologist,гістолог,гістолог,гістолог,histologist,"анатом, який спеціалізується на мікроскопічному вивченні тканин тварин",anatomist who specializes in the microscopic study of animal tissues,anatomist,"Golgi, Camillo Golgi; Malpighi, Marcello Malpighi; Ramon y Cajal, Santiago Ramon y Cajal; Schleiden, Matthias Schleiden, M. J. Schleiden; Schwann, Theodor Schwann"
omw-en31-03083745-n,i52222,n,omw-en31-04112987-n,compartment,купе,відсік,"відділення, відсік",compartment,"перегородка, камера або окрема кімната в межах більшої закритої території","a partitioned section, chamber, or separate room within a larger enclosed area",room,"bay; bay; box; box, loge; cab; cabin; cabin; cabinet, locker, storage locker; cable car, car; car, elevator car; car, gondola; cockpit; couchette; drawing room; glove compartment; luggage compartment, automobile trunk, trunk, boot; module; pilothouse, wheelhouse; roomette; stall; well"
omw-en31-09701369-n,i87521,n,omw-en31-09700747-n,Jewess,Єврейка.,Єврейка,Єврейка,Jewess,"жінка, яка є єврейкою",a woman who is a Jew,"Jew, Hebrew, Israelite","Lot's wife; Esther; Jezebel; Mary, Virgin Mary, The Virgin, Blessed Virgin, Madonna"
omw-en31-01730287-n,i44392,n,omw-en31-01729333-n,colubrid snake,змія колубрида,Вуж,"колубридна змія, колубрид, колубрідна змія, змія колобриди, колобрид, колобридна змія, колобрида","colubrid snake, colubrid",в основному нешкідливі помірно-тропічні наземні або альтанні або водні змії,mostly harmless temperate-to-tropical terrestrial or arboreal or aquatic snakes,"snake, serpent, ophidian","hoop snake; thunder snake, worm snake, Carphophis amoenus; ringneck snake, ring-necked snake, ring snake; hognose snake, puff adder, sand viper; leaf-nosed snake; green snake, grass snake; green snake; racer; whip-snake, whip snake, whipsnake; rat snake; glossy snake, Arizona elegans; bull snake, bull-snake; king snake, kingsnake; garter snake, grass snake; lined snake, Tropidoclonion lineatum; ground snake, Sonora semiannulata; eastern ground snake, Potamophis striatula, Haldea striatula; water snake; red-bellied snake, Storeria occipitamaculata; sand snake; black-headed snake; vine snake; lyre snake; night snake, Hypsiglena torquata; indigo snake, gopher snake, Drymarchon corais"
omw-en31-01734885-n,i44418,n,omw-en31-01729333-n,rat snake,щуряча змія,щуряча змія,щуряча змія,rat snake,будь-яка з різних невеномних гризунів-поїдних змій Північної Америки і Азії,any of various nonvenomous rodent-eating snakes of North America and Asia,"colubrid snake, colubrid","corn snake, red rat snake, Elaphe guttata; black rat snake, blacksnake, pilot blacksnake, mountain blacksnake, Elaphe obsoleta; chicken snake; Indian rat snake, Ptyas mucosus"
omw-en31-03454802-n,i54376,n,omw-en31-03847186-n,government office,державна установа,урядовий офіс,урядовий офіс,government office,"офіс, де працюють державні службовці",an office where government employees work,"office, business office",jobcentre; land office; Oval Office
omw-en31-03719774-n,i55970,n,omw-en31-03117803-n,makeup,макіяж,макіяж,"макіяж, військова фарба","makeup, make-up, war paint","косметика, нанесена на обличчя, щоб поліпшити або змінити зовнішній вигляд",cosmetics applied to the face to improve or change your appearance,cosmetic,"blackface; eyebrow pencil; eyeliner; eyeshadow; face powder; greasepaint; kohl; lip-gloss; lipstick, lip rouge; mascara; rouge, paint, blusher"
omw-en31-14543880-n,i113308,n,omw-en31-11545095-n,atmosphere,атмосфера,атмосфера,"атмосферний стан, атмосфера, стан атмосфери","atmosphere, atmospheric state",погода або клімат в якомусь місці,the weather or climate at some place,"weather, weather condition, conditions, atmospheric condition","air mass; anticyclone; cyclone; fog, fogginess, murk, murkiness"
omw-en31-14544120-n,i113309,n,omw-en31-11545095-n,air mass,повітряна маса,повітряна маса,Повітряна маса,air mass,велике повітряне тіло з однорідними характеристиками по горизонталі,a large body of air with uniform characteristics horizontally,"atmosphere, atmospheric state","high; low, depression"
omw-en31-04264103-n,i59187,n,omw-en31-03814104-n,soft drug,легкий наркотик,Легкий наркотик,"м'який наркотик, м'який препарат",soft drug,"наркотик, який вважається відносно легким і не викликає залежності",a drug of abuse that is considered relatively mild and not likely to cause addiction,"drug of abuse, street drug; narcotic","bhang; cannabis, marijuana, marihuana, ganja; hashish, hasheesh, haschisch, hash"
omw-en31-12977836-n,i104847,n,omw-en31-11566165-n,aquatic fern,водна папороть,водна папороть,"водяна папороть, водний папороть, водяний папороть","aquatic fern, water fern","папороті, які ростуть у воді",ferns that grow in water,fern,"clover fern, pepperwort; pillwort, Pilularia globulifera; regnellidium, Regnellidium diphyllum; floating-moss, Salvinia rotundifolia, Salvinia auriculata; mosquito fern, floating fern, Carolina pond fern, Azolla caroliniana; floating fern, water sprite, Ceratopteris pteridioides; floating fern, Ceratopteris thalictroides"
omw-en31-09830272-n,i88306,n,omw-en31-09999119-n,art critic,мистецтвознавець,мистецтвознавець,Мистецтвознавець,art critic,критик живопису,a critic of paintings,critic,"Fry, Roger Fry, Roger Eliot Fry; Ruskin, John Ruskin"
omw-en31-06551761-n,i70833,n,omw-en31-06544086-n,decree,указ,декрет,"наказ, рескрипт, указ, фіат, постанова","decree, edict, fiat, order, rescript","юридично обов'язкова команда або рішення, внесене до судового запису (як би видане судом або суддею)",a legally binding command or decision entered on the court record (as if issued by a court or judge),"act, enactment","consent decree; curfew; decree nisi; imperial decree; legal separation, judicial separation; programma; prohibition, ban, proscription; stay; bull, papal bull"
omw-en31-06553158-n,i70838,n,omw-en31-06544086-n,imperial decree,імператорський указ,імператорський указ,"імператорський указ, Імперський указ",imperial decree,"указ, виданий суверенним правителем",a decree issued by a sovereign ruler,"decree, edict, fiat, order, rescript","ukase; pragmatic sanction, pragmatic"
omw-en31-00207776-n,i36493,n,omw-en31-00207151-n,ejection,викид,вигнання,"викид, вигнання, виключення","ejection, exclusion, expulsion, riddance",акт витіснення когось або чогось,the act of forcing out someone or something,"banishment, proscription","defenestration; deportation; ostracism; barring, blackball; ouster, ousting"
omw-en31-08481612-n,i81539,n,omw-en31-07967506-n,movement,рух,рух,nan,"movement, social movement, front",уявна істота міфу або байки,a group of people with a common ideology who try together to achieve certain general goals,social group,"Free French, Fighting French; artistic movement, art movement; Boy Scouts; Civil Rights movement; common front; cultural movement; ecumenism, oecumenism; falun gong; political movement; reform movement; religious movement; Zionism, Zionist movement"
omw-en31-08489346-n,i81573,n,omw-en31-07967506-n,political movement,політичний рух,політичний рух,Політичний рух,political movement,"група людей, які працюють разом для досягнення політичної мети",a group of people working together to achieve a political goal,"movement, social movement, front","al-Fatah, Fatah, al-Asifa; Palestine Liberation Organization, PLO; Sinn Fein; Red Guard; syndicalism; terrorist organization, terrorist group, foreign terrorist organization, FTO"
